Matrícula,Início,Término,Situação,Contrato,Usuário
324825,1994-04-28,,EM EXERCÍCIO,5688/2023,9887
9095470,2006-03-29,,EM EXERCÍCIO,8348/2022,5143
9288740,2020-11-17,2024-09-30,EM EXERCÍCIO,10767/2023,6977
357928,1998-03-12,,EM EXERCÍCIO,6498/2022,8643
236950,1998-03-11,,EM EXERCÍCIO,3832/2022,6675
9389504,2019-08-28,,EM EXERCÍCIO,12382/2023,9116
9095357,2023-03-20,2023-09-15,EXONERADO/RESCISO,23022/2023,1822
9425845,2023-11-07,2025-06-26,EM EXERCÍCIO,31996/2023,10348
250260,1990-03-01,,EM EXERCÍCIO,4508/2022,8422
249254,1990-03-01,,EM EXERCÍCIO,4451/2022,8390
9250280,2014-01-20,,EM EXERCÍCIO,10304/2022,3482
9104810,2023-10-24,2025-10-23,EM EXERCÍCIO,31484/2023,4777
218359,1991-07-01,,EM EXERCÍCIO,1512/2022,6050
9230084,2023-12-01,2025-09-14,EM EXERCÍCIO,32385/2023,6825
9202323,2020-11-17,2024-09-30,EM EXERCÍCIO,9948/2023,6596
351350,2023-02-08,2023-12-31,EM EXERCÍCIO,20314/2023,5434
2359120,2006-07-25,,EM EXERCÍCIO,6903/2022,4664
250511,1990-03-01,,EM EXERCÍCIO,4524/2022,7256
142832,1984-01-02,,EM EXERCÍCIO,510/2022,5074
9439170,2023-04-03,2023-09-27,EXONERADO/RESCISO,25621/2023,10340
9348646,2020-11-17,2024-09-30,EM EXERCÍCIO,11715/2022,6608
9298673,2014-01-20,,EM EXERCÍCIO,10831/2022,3684
123633,1985-06-17,,EM EXERCÍCIO,381/2022,9687
9106146,2015-01-14,,EM EXERCÍCIO,8508/2022,6256
238848,1992-03-25,,EM EXERCÍCIO,3925/2022,2553
327832,2005-08-01,,EM EXERCÍCIO,5854/2023,627
9227270,2021-11-12,2023-01-28,EM EXERCÍCIO,10164/2023,1528
2379686,1992-04-28,,EM EXERCÍCIO,7192/2022,6389
9108351,2011-01-11,,EM EXERCÍCIO,8569/2022,1968
347930,1998-03-09,,EM EXERCÍCIO,6350/2022,7019
331104,1994-08-01,,EM EXERCÍCIO,6045/2023,754
273295,1993-08-01,,EM EXERCÍCIO,5087/2022,8565
177237,1985-05-01,,EM EXERCÍCIO,1134/2023,1222
262919,2023-07-01,2023-12-27,EM EXERCÍCIO,26922/2023,2334
9059555,2014-02-14,,EM EXERCÍCIO,7699/2022,9660
9242805,2023-03-27,,EM EXERCÍCIO,24865/2023,4257
9087699,2023-05-01,2023-10-27,EXONERADO/RESCISO,25986/2023,6444
9150510,2006-03-29,,EM EXERCÍCIO,9124/2022,3363
9102671,2014-01-20,,EM EXERCÍCIO,8441/2022,3792
9226869,2023-10-23,2025-10-22,EM EXERCÍCIO,30784/2023,7830
9058680,2011-01-11,,EM EXERCÍCIO,7677/2023,6240
9381805,2023-09-28,2025-06-26,EM EXERCÍCIO,27539/2023,5589
252107,1992-05-20,,EM EXERCÍCIO,4623/2022,4460
9110674,2023-03-20,2023-09-15,EXONERADO/RESCISO,22203/2023,4774
9262911,2023-03-20,2023-09-15,EXONERADO/RESCISO,22331/2023,3090
161934,1984-03-01,,EM EXERCÍCIO,856/2022,8487
171603,1998-05-11,,EM EXERCÍCIO,1028/2022,3597
244821,1989-06-30,,EM EXERCÍCIO,4301/2023,10054
324876,1994-06-01,,EM EXERCÍCIO,5692/2023,10073
9205055,2020-11-17,2024-09-30,EM EXERCÍCIO,10009/2023,5197
9105379,2020-11-17,2024-09-30,EM EXERCÍCIO,8483/2022,8064
9322426,2021-06-14,2023-01-28,EM EXERCÍCIO,11266/2023,4413
9093133,2023-10-24,2025-10-23,EM EXERCÍCIO,31341/2023,1657
329177,1994-05-10,,EM EXERCÍCIO,5960/2022,1322
325856,1994-08-01,,EM EXERCÍCIO,5762/2022,8434
269140,2006-03-29,,EM EXERCÍCIO,5048/2022,9848
9438904,2023-10-25,2025-06-26,EM EXERCÍCIO,31470/2023,1964
328952,1994-05-10,,EM EXERCÍCIO,5941/2022,5917
2381729,1992-06-26,,EM EXERCÍCIO,7303/2022,1197
9396080,2023-09-11,2025-06-26,EM EXERCÍCIO,28462/2023,2516
230251,1992-03-24,,EM EXERCÍCIO,3561/2022,5269
323560,1994-05-09,,EM EXERCÍCIO,5625/2022,2888
9092820,2023-12-01,2025-09-14,EM EXERCÍCIO,32271/2023,4783
2379899,1992-03-16,,EM EXERCÍCIO,7201/2023,5650
152137,1984-05-15,,EM EXERCÍCIO,672/2022,7441
168548,1980-01-01,,EM EXERCÍCIO,966/2023,4807
9400664,2023-09-11,2025-06-26,EM EXERCÍCIO,28096/2023,4245
9065806,2022-05-24,2023-01-28,EM EXERCÍCIO,17540/2023,4121
289280,1990-03-01,,EM EXERCÍCIO,5251/2022,9214
9349219,2023-10-23,2025-10-22,EM EXERCÍCIO,30700/2023,8014
223212,1992-01-08,,EM EXERCÍCIO,1677/2022,8212
9084789,2011-01-11,,EM EXERCÍCIO,8117/2023,8145
328987,1994-05-10,,EM EXERCÍCIO,5944/2022,7820
9147586,2020-02-17,0001-01-01,EXONERADO/RESCISO,18238/2022,4792
9251600,2014-03-06,,EM EXERCÍCIO,10361/2022,8000
157180,1986-05-02,,APOSENTADO,780/2023,9177
364541,2017-12-28,,EM EXERCÍCIO,6606/2022,9406
200565,2012-01-26,,EM EXERCÍCIO,1367/2022,8845
9454047,2023-09-11,2025-06-26,EM EXERCÍCIO,29552/2023,1407
9356916,2023-03-13,2023-09-08,EXONERADO/RESCISO,20770/2023,4736
9450661,2022-04-18,2023-01-28,EM EXERCÍCIO,18796/2022,6805
303429,2014-01-20,,EM EXERCÍCIO,5377/2022,8996
9367918,2023-03-13,2023-09-08,EXONERADO/RESCISO,20678/2023,5756
353620,1998-03-19,,EM EXERCÍCIO,6451/2022,1592
9407529,2014-06-09,,EM EXERCÍCIO,12750/2022,9487
213470,1990-03-01,,EM EXERCÍCIO,1449/2022,7560
9073728,2011-01-11,,EM EXERCÍCIO,7970/2022,5629
9093150,2023-03-20,2023-09-15,EXONERADO/RESCISO,21050/2023,4981
303216,1993-12-01,,EM EXERCÍCIO,5375/2022,7478
9390499,2014-01-20,,EM EXERCÍCIO,12439/2023,7755
355003,2011-01-11,,EM EXERCÍCIO,6467/2022,4978
9393790,2022-11-01,2023-01-28,EM EXERCÍCIO,19105/2022,4606
254843,1992-03-25,,EM EXERCÍCIO,4745/2022,2732
9314440,2023-09-18,2025-06-26,EM EXERCÍCIO,30079/2023,1240
9415424,2023-09-28,2025-06-26,EM EXERCÍCIO,27932/2023,9372
9395016,2023-09-18,2025-06-26,EM EXERCÍCIO,27371/2023,8786
9432094,2015-06-08,,EM EXERCÍCIO,13184/2022,2915
33332,1986-05-13,,EM EXERCÍCIO,173/2022,7105
9159380,2014-01-20,,EM EXERCÍCIO,9358/2022,3640
9127836,2021-06-29,2023-01-28,EM EXERCÍCIO,8772/2023,1595
9256547,2023-09-18,2025-06-26,EM EXERCÍCIO,29919/2023,7326
9445757,2021-08-10,2023-02-27,EXONERADO/RESCISO,13391/2022,9231
9442880,2022-06-01,,EM EXERCÍCIO,20418/2023,815
9379533,2020-09-04,,EM EXERCÍCIO,12258/2022,6192
247278,1989-06-30,,EM EXERCÍCIO,4371/2022,5221
9149961,2011-01-11,,EM EXERCÍCIO,9100/2023,823
254819,1992-05-27,,EM EXERCÍCIO,4743/2023,847
9298967,2014-01-20,,EM EXERCÍCIO,10837/2022,806
9390227,2020-09-04,,EM EXERCÍCIO,12415/2022,6606
324957,2006-03-29,,EM EXERCÍCIO,5698/2022,10201
2355752,2014-04-10,,EM EXERCÍCIO,6793/2022,4772
9465430,2019-03-26,2023-02-27,LICENCIADO,13811/2023,4840
9444866,2023-03-20,2023-09-15,EXONERADO/RESCISO,22535/2023,9380
9466657,2022-05-24,2024-01-05,EM EXERCÍCIO,18717/2022,9524
220434,1991-07-03,,EM EXERCÍCIO,1591/2022,7760
9459197,2022-06-30,2023-01-28,EM EXERCÍCIO,18206/2023,3241
366048,1998-05-01,,EM EXERCÍCIO,6635/2022,5573
9155473,2006-03-29,,EM EXERCÍCIO,9252/2022,2766
2384019,2006-03-29,,EM EXERCÍCIO,7387/2022,9696
9061690,1998-03-26,,EM EXERCÍCIO,7765/2022,6473
226467,1991-09-02,,EM EXERCÍCIO,3388/2022,10150
9426817,2023-09-28,2025-06-26,EM EXERCÍCIO,27536/2023,5849
9172432,2023-03-20,2023-12-31,EM EXERCÍCIO,25948/2023,9941
249548,1990-03-01,,EM EXERCÍCIO,4469/2022,3576
290700,1990-03-01,,EM EXERCÍCIO,5312/2022,9878
9227130,2014-01-20,,EM EXERCÍCIO,10156/2022,3181
249491,1998-06-23,,EM EXERCÍCIO,4465/2022,7900
9422480,2023-10-23,2025-10-22,EM EXERCÍCIO,30666/2023,6817
9155244,2022-05-25,2023-01-28,EM EXERCÍCIO,19746/2023,3275
287903,2008-03-07,,EM EXERCÍCIO,5196/2022,776
9229574,2023-06-01,2024-01-04,EM EXERCÍCIO,26545/2023,7733
9057161,2008-03-07,,EM EXERCÍCIO,7665/2023,1904
2355353,2006-07-25,,EM EXERCÍCIO,6781/2022,7512
2378310,1998-03-10,,EM EXERCÍCIO,7128/2023,9013
9202420,2023-03-20,2023-09-15,EXONERADO/RESCISO,23189/2023,5913
9153020,2023-09-01,2025-06-26,EM EXERCÍCIO,27766/2023,7356
9182160,2019-08-28,,EM EXERCÍCIO,9712/2022,3760
44059,1989-02-01,,EM EXERCÍCIO,240/2022,1730
236586,1992-05-26,,EM EXERCÍCIO,3813/2022,6297
9379568,2023-09-01,2025-06-26,EM EXERCÍCIO,29652/2023,9954
9143742,2006-03-29,,EM EXERCÍCIO,9011/2022,8915
236250,2014-01-27,,EM EXERCÍCIO,3797/2023,3345
9159398,2014-06-09,,EM EXERCÍCIO,9359/2022,7837
9422218,2023-09-11,2025-06-26,EM EXERCÍCIO,27925/2023,7210
9473904,2017-05-30,,EM EXERCÍCIO,13987/2022,3295
9319700,2014-01-20,,EM EXERCÍCIO,11195/2023,2129
9316892,2023-03-13,2023-09-08,EXONERADO/RESCISO,20611/2023,1417
9393250,2023-09-18,2025-06-26,EM EXERCÍCIO,27678/2023,5559
9333282,2020-09-04,,EM EXERCÍCIO,11491/2022,1471
9345507,2023-10-26,2025-06-26,EM EXERCÍCIO,31491/2023,5676
9086544,2019-08-28,,EM EXERCÍCIO,8165/2022,1453
238147,2006-03-29,,EM EXERCÍCIO,3890/2022,5045
9091483,2014-01-27,,EM EXERCÍCIO,8250/2022,2183
198099,1989-02-01,,EM EXERCÍCIO,1337/2022,9200
322814,1994-02-01,,EM EXERCÍCIO,5599/2022,3071
236527,1992-05-26,,EM EXERCÍCIO,3809/2023,1757
213446,1990-03-01,,EM EXERCÍCIO,1447/2022,2381
226785,1991-07-24,,EM EXERCÍCIO,3406/2022,7090
250651,1990-03-01,,LICENCIADO,4535/2023,9931
2384825,1992-03-23,,APOSENTADO,7428/2023,4663
2356058,1992-03-19,,EM EXERCÍCIO,6808/2022,9269
325619,2013-01-04,,EM EXERCÍCIO,5744/2022,10107
9125345,2011-01-11,,EM EXERCÍCIO,8740/2022,6529
331082,1994-08-01,,EM EXERCÍCIO,6043/2022,7587
129844,2023-03-13,2023-09-08,EXONERADO/RESCISO,20474/2023,7532
306797,1990-02-01,,EM EXERCÍCIO,5483/2022,7742
9161171,2023-09-11,2025-06-26,EM EXERCÍCIO,29967/2023,6040
267325,1992-05-26,,EM EXERCÍCIO,4966/2023,9105
9157867,2006-03-29,,EM EXERCÍCIO,9324/2023,1271
9394591,2014-03-06,,EM EXERCÍCIO,12583/2023,7047
359386,2023-12-01,2025-10-31,EM EXERCÍCIO,32476/2023,4554
220418,1991-07-10,,EM EXERCÍCIO,1589/2022,4815
9209980,2006-07-25,,EM EXERCÍCIO,10046/2022,7947
9365354,2014-01-20,,EM EXERCÍCIO,11995/2022,4673
339369,1998-03-23,,EM EXERCÍCIO,18410/2022,1161
9425608,2023-03-20,2023-09-15,EXONERADO/RESCISO,21211/2023,5702
289396,1990-03-01,,EM EXERCÍCIO,5258/2022,3179
9184562,2014-03-06,,EM EXERCÍCIO,9742/2023,7251
364851,2020-09-04,,EM EXERCÍCIO,6612/2023,1774
9201807,2023-09-04,2025-06-25,EM EXERCÍCIO,29954/2023,5802
9132112,2022-11-01,2024-01-05,EM EXERCÍCIO,19096/2022,2986
9172068,2021-08-10,2023-01-28,EM EXERCÍCIO,9503/2023,9637
228320,1991-10-29,,EM EXERCÍCIO,3476/2022,9007
9429050,2022-06-30,2024-01-05,EM EXERCÍCIO,19512/2022,5564
9178066,2023-04-01,2023-09-27,EXONERADO/RESCISO,25247/2023,5419
9287744,2023-09-11,2025-06-26,EM EXERCÍCIO,29667/2023,6414
9265589,2023-03-20,2023-09-15,EXONERADO/RESCISO,21166/2023,7745
9717,1986-01-02,,EM EXERCÍCIO,97/2023,7346
226335,1991-07-20,,EM EXERCÍCIO,3379/2022,620
9394990,2023-03-16,2025-01-28,EM EXERCÍCIO,22874/2023,869
343064,2023-11-01,2025-06-26,EM EXERCÍCIO,30954/2023,5965
238589,1992-03-24,,EM EXERCÍCIO,3908/2023,9662
9075267,2023-03-13,2023-09-08,EXONERADO/RESCISO,21377/2023,8221
9355448,2023-01-02,2026-12-31,EM EXERCÍCIO,20190/2023,2807
364860,2023-09-18,2025-06-26,EM EXERCÍCIO,28892/2023,9046
117200,1994-03-10,,EM EXERCÍCIO,342/2022,6261
9345078,2023-03-20,2023-09-15,EXONERADO/RESCISO,24614/2023,3392
156809,1986-04-01,,EM EXERCÍCIO,766/2022,4546
9423559,2023-03-20,2023-09-15,EXONERADO/RESCISO,24377/2023,8689
2350963,1992-03-18,,EM EXERCÍCIO,6682/2022,4622
9200207,2015-01-14,,EM EXERCÍCIO,9837/2022,5637
9202200,2014-01-20,,EM EXERCÍCIO,9935/2023,6437
9379940,2023-04-01,2023-09-27,EXONERADO/RESCISO,25286/2023,8871
9284010,2014-01-20,,EM EXERCÍCIO,10671/2022,5243
9062092,1998-04-08,,EM EXERCÍCIO,7801/2022,6374
9305602,2022-08-12,2023-01-28,EM EXERCÍCIO,17335/2023,5209
2352680,2023-04-01,2023-09-27,EXONERADO/RESCISO,25113/2023,9838
9454071,2023-09-18,2025-06-26,EM EXERCÍCIO,30163/2023,7061
277380,1994-03-10,,EM EXERCÍCIO,5157/2022,7445
2351544,2023-09-19,2023-12-31,EM EXERCÍCIO,30344/2023,6527
9310800,2023-10-24,2025-10-23,EM EXERCÍCIO,31355/2023,1632
2357860,1992-04-02,,EM EXERCÍCIO,6894/2022,760
9319506,2023-07-10,2023-12-31,EM EXERCÍCIO,32564/2023,8427
225878,1991-07-18,,EM EXERCÍCIO,3346/2022,8592
2350971,1992-03-17,,EM EXERCÍCIO,6683/2022,1206
9370749,2023-11-01,2025-10-30,EM EXERCÍCIO,31716/2023,2609
9145206,2014-01-20,,EM EXERCÍCIO,9018/2022,2179
164593,2023-03-20,2023-09-15,EXONERADO/RESCISO,23870/2023,5280
292150,1998-05-08,,EM EXERCÍCIO,5336/2022,5174
9203818,2022-11-09,2023-11-12,EM EXERCÍCIO,19683/2023,8164
252158,1990-03-01,,LICENCIADO,4627/2023,9826
9443649,2016-02-19,,EM EXERCÍCIO,13332/2022,3404
2378787,1992-07-15,,EM EXERCÍCIO,7148/2022,4581
9393188,2023-10-24,2025-10-23,EM EXERCÍCIO,31402/2023,884
234990,1992-02-19,,EM EXERCÍCIO,3725/2022,5395
252247,1990-03-01,,EM EXERCÍCIO,4630/2022,1639
306126,1990-02-01,,EM EXERCÍCIO,5465/2022,8479
252336,1990-03-01,,EM EXERCÍCIO,4636/2022,7340
9159126,2014-01-20,,EM EXERCÍCIO,9356/2023,4175
2382989 ,2023-09-18,2025-06-26,EM EXERCÍCIO,28278/2023,5773
9155520,2014-01-20,,EM EXERCÍCIO,9254/2022,7541
226998,1991-08-07,,APOSENTADO,3420/2023,3539
199150,1989-02-01,,EM EXERCÍCIO,1350/2022,8098
2385015,1998-03-12,,EM EXERCÍCIO,7435/2022,1352
2755025,2005-08-01,,EM EXERCÍCIO,7610/2022,7766
251631,1990-03-01,,EM EXERCÍCIO,4596/2022,9023
9323805,2023-04-01,2023-09-27,EXONERADO/RESCISO,25231/2023,8311
268178,1993-04-22,,EM EXERCÍCIO,5004/2022,2934
9478990,2022-01-13,2023-01-28,EM EXERCÍCIO,14117/2023,3138
9250166,2022-08-22,,EM EXERCÍCIO,27298/2023,2203
9366660,2014-01-20,,EM EXERCÍCIO,12031/2023,6727
9405852,2023-02-27,,EM EXERCÍCIO,20394/2023,3939
9260528,2014-02-14,,EM EXERCÍCIO,18417/2022,1362
9308695,2023-09-18,2025-06-26,EM EXERCÍCIO,29505/2023,1148
9251022,2020-09-04,,EM EXERCÍCIO,10335/2022,6151
9392602,2022-11-01,2024-01-05,EXONERADO/RESCISO,19067/2023,3933
9434976,2023-09-01,2025-06-26,EM EXERCÍCIO,29936/2023,8042
9390502,2014-01-20,,EM EXERCÍCIO,12440/2022,3621
9317686,2019-08-28,,EM EXERCÍCIO,11131/2023,9069
9417826,2023-10-30,2025-06-26,EM EXERCÍCIO,31683/2023,2515
9287116,2014-03-06,,EM EXERCÍCIO,10724/2023,6880
9093281,2011-01-11,,EM EXERCÍCIO,8302/2022,9516
9422684,2023-10-10,2025-06-26,EM EXERCÍCIO,31126/2023,1628
2753448,1994-03-17,,EM EXERCÍCIO,7522/2023,3988
2376903,1992-04-20,,EM EXERCÍCIO,7072/2022,8214
9396934,2023-10-18,2025-06-26,EM EXERCÍCIO,31226/2023,5796
228788,1992-02-02,,EM EXERCÍCIO,3487/2022,4996
2385236,1992-04-14,,EXONERADO,7447/2023,4166
214272,1989-06-30,,EM EXERCÍCIO,1474/2022,5355
250643,1994-02-01,,EM EXERCÍCIO,4534/2022,9870
9305238,2023-03-13,2023-09-08,EXONERADO/RESCISO,20668/2023,5622
307793,1992-06-08,,EM EXERCÍCIO,5518/2022,3194
303615,1990-02-01,,EM EXERCÍCIO,5382/2023,10101
9459049,2020-09-04,,EM EXERCÍCIO,13675/2022,8308
247073,1998-03-10,,EM EXERCÍCIO,4361/2022,2916
307378,1995-06-15,,EM EXERCÍCIO,5503/2022,6315
9136657,2023-03-20,2023-09-15,EXONERADO/RESCISO,23814/2023,1779
9445005,2016-01-20,,EM EXERCÍCIO,13368/2022,3216
364878,1998-03-12,,EM EXERCÍCIO,6614/2022,3747
224855,1992-02-07,,LICENCIADO,3326/2023,1984
244422,1989-06-30,,EM EXERCÍCIO,4282/2022,3043
2382202,1992-04-06,,EM EXERCÍCIO,7316/2023,7700
230472,1992-10-01,,EM EXERCÍCIO,3574/2022,2407
9347194,2023-09-18,2025-06-26,EM EXERCÍCIO,27875/2023,7161
9418245,2023-10-30,2025-10-29,EM EXERCÍCIO,31849/2023,7295
9280200,2014-06-09,,EM EXERCÍCIO,10618/2022,6158
9356967,2020-09-04,,EM EXERCÍCIO,11873/2022,9184
9398023,2020-09-04,,EM EXERCÍCIO,12665/2023,8262
9371478,2023-06-06,2023-12-01,EXONERADO/RESCISO,26652/2023,1622
9440577,2023-03-20,2023-09-15,EXONERADO/RESCISO,21174/2023,1660
273660,2006-03-29,,EM EXERCÍCIO,5091/2022,5163
9345779,2023-09-18,2025-06-26,EM EXERCÍCIO,30082/2023,2463
9260340,2020-09-04,,EXONERADO,10497/2023,3126
9450785,2023-11-13,2025-06-26,EM EXERCÍCIO,32079/2023,8792
17507,1994-03-24,,EM EXERCÍCIO,120/2023,5579
9201815,2006-03-29,,EM EXERCÍCIO,9902/2022,6587
9277340,2014-01-20,,EM EXERCÍCIO,10577/2022,2676
9419152,2023-03-20,2023-09-15,EXONERADO/RESCISO,23204/2023,9818
9830,1998-03-10,,EM EXERCÍCIO,99/2022,9797
